SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_final,FHC_single,FHC_final,Special_count,Notes,Exclude_trial,Exclude_trial_reason
sf-math-165,79,IDK,80,81,69,69,109,109,0,,0,
sf-math-165,89,IDK,90,91,69,69,109,109,0,child asked to stop,0,
sf-math-165,99,IDK,100,101,69,69,109,109,0,,0,
sf-math-165,109,IDK,110,IDK,69,69,109,109,0,,0,
sf-math-164,39,80,40,41,39,39,69,69,0,,0,
sf-math-164,49,30,50,51,39,39,69,69,0,,0,
sf-math-164,59,30,60,61,39,39,69,69,0,,0,
sf-math-164,69,30,70,IDK,39,39,69,69,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",0,
sf-math-163,27,29,28,29,27,27,39,39,0,,0,
sf-math-163,37,39,38,39,27,27,39,39,0,,0,
sf-math-163,39,IDK,40,31,27,27,39,39,0,child asked to stop,0,
sf-math-162,13,15,14,16,13,13,13,13,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included",0,
sf-math-161,29,40,30,32,29,29,29,29,1,"after prompt,  started from 1",0,
sf-math-160,39,IDK,40,41,39,39,119,119,0,,0,
sf-math-160,59,70,60,61,39,39,119,119,0,,0,
sf-math-160,79,30,80,81,39,39,119,119,0,,0,
sf-math-160,89,80,90,91,39,39,119,119,0,,0,
sf-math-160,99,70,100,101,39,39,119,119,0,,0,
sf-math-160,109,IDK,110,111,39,39,119,119,0,,0,
sf-math-160,112,IDK,113,114,39,39,119,119,0,,0,
sf-math-160,119,IDK,120,NA,39,39,119,119,0,,0,
sf-math-158,15,18,16,17,15,15,19,19,0,,0,
sf-math-158,19,18,20,18,15,15,19,19,0,,0,
sf-math-156,14,16,15,1,14,14,14,14,0,,0,
sf-math-156,14,16,15,1,14,14,14,14,0,,1,"started counting from 1, child made same error twice"
sf-math-154,14,IDK,15,1,14,14,14,14,0,child asked to stop,0,
sf-math-153,39,3010,40,IDK,40,39,40,39,0,,0,
sf-math-151,39,IDK,40,IDK,39,39,39,39,0,,0,
sf-math-150,15,14,16,17,15,15,54,54,0,,0,
sf-math-150,29,20,30,31,15,15,54,54,0,,0,
sf-math-150,39,IDK,40,41,15,15,54,54,0,"child kept skipping, 89, KG provided prompt, then child used prompt",0,
sf-math-150,49,40,50,51,15,15,54,54,1,child began counting again from 81,0,
sf-math-150,54,15,55,IDK,15,15,54,54,0,,0,
sf-math-149,59,40,60,61,59,59,63,63,0,,0,
sf-math-149,63,I'm tired,NA,NA,59,59,63,63,0,,0,
sf-math-146,29,2010,30,11,29,29,29,29,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included here",0,
sf-math-144,27,IDK,28,29,27,27,39,39,0,,0,
sf-math-144,29,IDK,30,31,27,27,39,39,0,,0,
sf-math-144,31,33,32,33,27,27,39,39,0,,0,
sf-math-144,34,36,35,36,27,27,39,39,0,,0,
sf-math-144,39,IDK,40,NA,27,27,39,39,0,child asked to stop,0,
sf-math-142,20,30,21,22,20,20,109,109,0,,0,
sf-math-142,49,60,50,51,20,20,109,109,0,,0,
sf-math-142,59,IDK,60,61,20,20,109,109,0,,0,
sf-math-142,69,IDK,70,71,20,20,109,109,0,,0,
sf-math-142,71,73,72,73,20,20,109,109,0,,0,
sf-math-142,79,IDK,80,81,20,20,109,109,0,,0,
sf-math-142,89,IDK,90,91,20,20,109,109,0,,0,
sf-math-142,99,IDK,100,101,20,20,109,109,0,,0,
sf-math-142,109,IDK,110,IDK,20,20,109,109,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",0,
sf-math-141,19,100,20,21,19,19,35,35,1,,0,
sf-math-141,29,28,30,31,19,19,35,35,0,,0,
sf-math-141,35,37,36,39,19,19,35,35,0,,0,
sf-math-140,32,34,33,IDK,32,32,32,32,0,"Child claimed that's how high he can count to and did not give the next number, RMS prompted a few more, but were not included for the above reason.  ",0,
sf-math-139,10,IDK,11,12,10,10,29,29,0,,0,
sf-math-139,29,20-10,30,IDK,10,10,29,29,0,asked to stop,0,
sf-math-138,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-137,39,IDK,40,41,39,39,120,120,0,,0,
sf-math-137,49,90,50,51,39,39,120,120,0,,0,
sf-math-137,59,40,60,61,39,39,120,120,0,,0,
sf-math-137,66,68,67,68,39,39,120,120,0,,0,
sf-math-137,69,80,70,71,39,39,120,120,0,,0,
sf-math-137,90,100,91,92,39,39,120,120,0,,0,
sf-math-137,120,NA,NA,NA,39,39,120,120,0,,0,
sf-math-136,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-135,39,50,40,41,39,39,112,111,0,,0,
sf-math-135,109,IDK,110,111,39,39,112,111,0,,0,
sf-math-135,111,130,112,IDK,39,39,112,111,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",0,
sf-math-134,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-133,59,70,60,61,59,59,109,109,0,,0,
sf-math-133,79,30,80,81,59,59,109,109,0,,0,
sf-math-133,88,90,89,89,59,59,109,109,0,,0,
sf-math-133,89,40,90,91,59,59,109,109,0,,0,
sf-math-133,99,IDK,100,101,59,59,109,109,0,,0,
sf-math-133,109,IDK,110,NA,59,59,109,109,0,,0,
sf-math-132,119,IDK,120,121,119,119,120,121,0,,0,
sf-math-131,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-130,109,IDK,110,111,109,109,129,129,0,,0,
sf-math-130,129,IDK,NA,NA,109,109,129,129,1,,0,
sf-math-129,55,60,56,57,55,55,120,120,0,,0,
sf-math-129,65,67,67,68,55,55,120,120,0,"The kid actually skipped 66, but the last successful on the data sheet is marked as 66. Kid was then prompted with 67. ",0,
sf-math-129,69,80,70,71,55,55,120,120,0,,0,
sf-math-129,120,NA,NA,NA,55,55,120,120,0,,0,
sf-math-128,20,22,21,22,20,20,120,120,0,,0,
sf-math-128,109,2000,110,111,20,20,120,120,0,,0,
sf-math-128,120,NA,NA,NA,20,20,120,120,0,,0,
sf-math-127,109,IDK,110,111,109,109,120,140,0,,0,
sf-math-127,119,IDK,120,121,109,109,120,140,0,,0,
sf-math-127,129,120-ten,130,140,109,109,120,140,0,,0,
sf-math-126,130,NA,NA,NA,130,130,130,130,1,,0,
sf-math-125,120,NA,NA,NA,120,NA,120,NA,0,No video,1,No HC video
sf-math-124,10,IDK,11,12,10,10,71,109,1,"after prompt,  started from 1",0,
sf-math-124,14,18,15,19,10,10,71,109,0,,0,
sf-math-124,15,19,16,17,10,10,71,109,0,,0,
sf-math-124,39,90,40,41,10,10,71,109,0,,0,
sf-math-124,55,90,56,57,10,10,71,109,0,"sounds like 50,11 but child seems to have speech impediment and could be 57",0,
sf-math-124,57,59,58,59,10,10,71,109,0,,0,
sf-math-124,59, ,60,61,10,10,71,109,0,,0,
sf-math-124,69,90,70,71,10,10,71,109,0,,0,
sf-math-124,109,80,110,110,10,10,71,109,0,experimenter error?? Didn't catch this mistake?,0,
sf-math-123,85,IDK,86,87,85,85,115,115,0,,0,
sf-math-123,95,IDK,96,97,85,85,115,115,0,,0,
sf-math-123,99,IDK,100,101,85,85,115,115,0,,0,
sf-math-123,115,117,116,118,85,85,115,115,0,,0,
sf-math-121,39,30,40,6,39,39,39,39,0,,0,
sf-math-119,100,IDK,101,NA,100,100,100,100,0,child stopped counting,0,
sf-math-118,39,20,40,41,39,39,65,65,0,,0,
sf-math-118,49,40,50,51,39,39,65,65,0,,0,
sf-math-118,59,20,60,61,39,39,65,65,0,,0,
sf-math-118,65,67,66,61,39,39,65,65,0,,0,
sf-math-117,109,1000,110,NA,109,109,109,109,0,child asked to stop because he was too tired,0,
sf-math-113,24,30,25,1,24,24,30,29,1,child started from 1,0,
sf-math-113,25,30,26,27,24,24,30,29,0,,0,
sf-math-113,29,IDK,30,IDK,24,24,30,29,0,,0,
sf-math-110,69,40,70,71,69,69,79,79,0,,0,
sf-math-110,76,79,77,78,69,69,79,79,0,,0,
sf-math-110,79,78,80,79,69,69,79,79,0,,0,
sf-math-109,27,29,NA,NA,27,27,100,100,0,Experimenter error,0,
sf-math-109,100,IDK,101,IDK,27,27,100,100,0,,0,
sf-math-108,89,IDK,90,91,89,89,111,111,0,,0,
sf-math-108,99,IDK,100,101,89,89,111,111,0,,0,
sf-math-108,109,IDK,110,111,89,89,111,111,0,,0,
sf-math-108,111,IDK,112,Child stopped counting,89,89,111,111,0,,0,
sf-math-105,49,IDK,50,51,49,49,69,69,0,,0,
sf-math-105,59,IDK,60,61,49,49,69,69,0,,0,
sf-math-105,69,IDK,70,said she couldn't keep counting,49,49,69,69,0,,0,
sf-math-102,33,35,34,35,33,33,76,68,0,on video as 052418-MK,0,
sf-math-102,43,45,NA,NA,33,33,76,68,0,Experimenter missed the mistake from 43 to 45; on video as 052418-MK,0,
sf-math-102,49,30,50,51,33,33,76,68,0,on video as 052418-MK,0,
sf-math-102,59,70,60,61,33,33,76,68,0,on video as 052418-MK,0,
sf-math-102,68,70,69,68,33,33,76,68,0,on video as 052418-MK,0,
sf-math-102,69,68,70,71,33,33,76,68,0,on video as 052418-MK,1,child made error immediately after prompt
sf-math-100,19,21,20,21,19,19,25,25,0,Stopped around 26/27 but not sure if 3+ prompts were given before stopping the game,0,
sf-math-100,25,16,26,25,19,19,25,25,0,,0,
sf-math-99,35,37,36,38,35,35,35,35,0,,0,
sf-math-98,28,30,29,"""I can't do any more numbers'",28,28,28,28,0,,0,
sf-math-95,119,191,120,121,119,119,121,119,1,went down to 111 after 112,0,
sf-math-94,39,50,40,41,39,39,79,79,0,,0,
sf-math-94,57,59,58,59,39,39,79,79,0,,0,
sf-math-94,59,IDK,60,61,39,39,79,79,0,,0,
sf-math-94,69,IDK,70,71,39,39,79,79,0,,0,
sf-math-94,79,IDK,80,IDK,39,39,79,79,0,,0,
sf-math-92,59,80,60,61,59,59,120,120,0,,0,
sf-math-92,69,80,70,71,59,59,120,120,0,,0,
sf-math-92,100,1000,101,102,59,59,120,120,0,,0,
sf-math-92,109,IDK,110,111,59,59,120,120,0,,0,
sf-math-91,29,2030,30,31,29,29,89,89,0,,0,
sf-math-91,59,IDK,60,61,29,29,89,89,0,,0,
sf-math-91,69,6066,70,71,29,29,89,89,0,,0,
sf-math-91,79,IDK,80,81,29,29,89,89,0,,0,
sf-math-91,89,IDK,90,IDK,29,29,89,89,0,,0,
sf-math-88,19,21,20,21,19,19,23,23,0,,0,
sf-math-88,23,29,24,IDK,19,19,23,23,0,,0,
sf-math-87,29,IDK,30,31,29,29,112,112,0,,0,
sf-math-87,39,3010,40,41,29,29,112,112,0,,0,
sf-math-87,49,70,50,51,29,29,112,112,0,,0,
sf-math-87,59,IDK,60,61,29,29,112,112,0,,0,
sf-math-87,79,IDK,80,81,29,29,112,112,0,,0,
sf-math-87,112,IDK,113,115,29,29,112,112,0,,0,
sf-math-86,29,20,30,31,29,29,39,39,0,,0,
sf-math-86,39,32,40,45,29,29,39,39,0,,0,
sf-math-85,49,59,50,51,49,49,89,89,0,,1,Experimenter prematurely ended
sf-math-85,59,40,60,61,49,49,89,89,0,,1,Experimenter prematurely ended
sf-math-85,66,62,67,68,49,49,89,89,0,,1,Experimenter prematurely ended
sf-math-85,69,60-10,70,71,49,49,89,89,0,,1,Experimenter prematurely ended
sf-math-85,79,78,80,81,49,49,89,89,0,,1,Experimenter prematurely ended
sf-math-83,26,29,27,17,26,26,59,28,0,,0,
sf-math-83,28,IDK,29,No response,26,26,59,28,0,,0,
sf-math-83,29,27,30,31,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,39,30,40,41,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,46,49,47,48,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,49,100,50,51,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,56,100,57,IDK,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,57,IDK,58,59,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-83,59,100,60,100,26,26,59,28,0,,1,child made error immediately after prompt
sf-math-80,29,20,30,31,29,29,39,39,0,,0,
sf-math-80,39,30,40,That's as high as I can count,29,29,39,39,0,,0,
sf-math-79,20,29,21,22,20,20,109,109,1,child started from 1 after prompt,1,"Child started from 1, made same error twice"
sf-math-79,15,17,16,17,20,20,109,109,1,child started from 1 again after prompt,1,"Child started from 1, made same error twice"
sf-math-79,20,29,21,22,20,20,109,109,0,,0,
sf-math-79,39,IDK,40,41,20,20,109,109,0,,0,
sf-math-79,59,IDK,60,61,20,20,109,109,0,,0,
sf-math-79,79,IDK,80,81,20,20,109,109,0,,0,
sf-math-79,89,40,90,91,20,20,109,109,0,,0,
sf-math-79,94,99,95,96,20,20,109,109,0,,0,
sf-math-79,100,IDK,101,102,20,20,109,109,0,,0,
sf-math-79,109,IDK,110,IDK,20,20,109,109,0,,0,
sf-math-77,100,IDK,101,102,100,100,102,102,0,child asked to stop,0,
sf-math-75,5,10,6,7,5,5,9,9,1,child started from 1,0,
sf-math-75,9,16,10,IDK,5,5,9,9,0,,0,
sf-math-74,43,45,44,45,43,43,119,119,0,,0,
sf-math-74,49,IDK,50,51,43,43,119,119,0,,0,
sf-math-74,59,IDK,60,61,43,43,119,119,0,,0,
sf-math-74,69,IDK,70,71,43,43,119,119,0,,0,
sf-math-74,112,114,113,114,43,43,119,119,0,,0,
sf-math-74,119,20,120,120,43,43,119,119,0,,0,
sf-math-71,12,14,13,14,12,12,59,59,0,,0,
sf-math-71,30,IDK,31,32,12,12,59,59,0,,0,
sf-math-71,40,IDK,41,42,12,12,59,59,0,,0,
sf-math-71,49,40,50,51,12,12,59,59,0,,0,
sf-math-71,59,50,60,IDK,59,12,59,59,0,,0,
sf-math-70,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-69,NA,NA,NA,NA,NA,NA,NA,NA,0,child did not perform highest count,1,child did not perform highest count
sf-math-68,29,IDK,30,30,29,29,50,50,0,,0,
sf-math-68,49,4010,50,50,29,29,50,50,0,,0,
sf-math-68,50,IDK,None,NA,29,29,50,50,0,,0,
sf-math-67,109,1000,110,110,109,109,119,119,0,,0,
sf-math-67,119,IDK,120,stopef,109,109,119,119,0,,0,
sf-math-66,41,IDK,42,43,41,41,109,109,0,,0,
sf-math-66,49,IDK,50,51,41,41,109,109,0,,0,
sf-math-66,79,IDK,80,71,41,41,109,109,0,,0,
sf-math-66,89,IDK,90,91,41,41,109,109,0,,0,
sf-math-66,100,IDK,101,102,41,41,109,109,0,,0,
sf-math-66,109,200,110,Stopped,41,41,109,109,0,,0,
sf-math-65,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-115,26,17,27,28,26,26,89,88,0,,0,
sf-math-115,29,IDK,30,31,26,26,89,88,0,,0,
sf-math-115,39,IDK,40,41,26,26,89,88,0,,0,
sf-math-115,49,100,50,51,26,26,89,88,0,,0,
sf-math-115,59,IDK,60,61,26,26,89,88,0,,0,
sf-math-115,69,IDK,70,71,26,26,89,88,0,,0,
sf-math-115,77,IDK,78,79,26,26,89,88,0,,0,
sf-math-115,79,IDK,80,81,26,26,89,88,0,,0,
sf-math-115,88,IDK,89,61,26,26,89,88,0,,0,
sf-math-112,39,IDK,40,41,39,39,110,109,0,,0,
sf-math-112,59,100,60,61,39,39,110,109,0,,0,
sf-math-112,69,100,70,71,39,39,110,109,0,,0,
sf-math-112,79,100,80,81,39,39,110,109,0,,0,
sf-math-112,89,70,90,91,39,39,110,109,0,,0,
sf-math-112,100,102,101,102,39,39,110,109,0,,0,
sf-math-112,109,60,110,101,39,39,110,109,0,,0,
sf-math-64,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-62,29,40,30,IDK,29,29,29,29,0,,0,
sf-math-63,116,IDK,can you keep counting?,IDK,116,HELP,116,HELP,0,,1,"Experimenter error, didn't provide prompt"
sf-math-58,12,IDK,13,14,12,12,59,38,0,,0,
sf-math-58,14,16,NA,NA,12,12,59,38,0,experimenter didn't catch mistake,0,
sf-math-58,19,IDK,20,21,12,12,59,38,0,,0,
sf-math-58,29,IDK,30,31,12,12,59,38,0,,0,
sf-math-58,38,30-10,39,IDK,12,12,59,38,0,error immediatelty after prompt,0,
sf-math-58,39,IDK,40,41,12,12,59,38,0,,1,Error immediately after prompt
sf-math-58,49,IDK,50,51,12,12,59,38,0,,1,Error immediately after prompt
sf-math-58,53,55,None,54,12,12,59,38,0,self corrected,1,Error immediately after prompt
sf-math-58,56,59,None,57,12,12,59,38,0,self corrected,1,Error immediately after prompt
sf-math-58,59,IDK,3 prompts in one decadeta ,,12,12,59,38,0,exp. error,1,Error immediately after prompt
sf-math-111,79,78,80,81,79,79,119,119,0,,0,
sf-math-111,85,87,86,87,79,79,119,119,0,,0,
sf-math-111,89,IDK,90,91,79,79,119,119,0,,0,
sf-math-111,109,108,110,111,79,79,119,119,0,,0,
sf-math-111,119,91,120,NA,79,79,119,119,0,,0,
sf-math-97,16,18,17,18,16,16,19,19,0,,0,
sf-math-97,19,22,20,26,16,16,19,19,0,,0,
sf-math-96,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-106,39,50,40,41,39,39,44,44,0,,0,
sf-math-106,44,35,45,47,39,39,44,44,0,,0,
sf-math-114,29,40,30,31,29,29,79,HELP,0,,1,No HC recording
sf-math-114,49,80,50,51,29,29,79,HELP,0,,1,No HC recording
sf-math-114,59,80,60,61,29,29,79,HELP,0,,1,No HC recording
sf-math-114,69,80,70,71,29,29,79,HELP,0,,1,No HC recording
sf-math-114,74,76,75,76,29,29,79,HELP,0,,1,No HC recording
sf-math-114,77,80,78,79,29,29,79,HELP,0,,1,No HC recording
sf-math-55,28,IDK,29,Stopped,28,28,28,28,0,,0,
sf-math-49,30,none,None,my voice is tired,30,30,30,30,0,,0,
sf-math-51,100,IDK,none,Wanted to stop,100,100,100,100,0,,0,
sf-math-50,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-47,49,30,50,51,49,49,119,119,0,,0,
sf-math-47,59,100,60,60,49,49,119,119,0,,0,
sf-math-47,69,IDK,70,71,49,49,119,119,0,,0,
sf-math-47,109,IDK,110,110,49,49,119,119,0,,0,
sf-math-47,115,170,116,116,49,49,119,119,0,,0,
sf-math-47,119,IDK,120,stopped,49,49,119,119,0,,0,
sf-math-56,30,NA,NA,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-56,39,30,40,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-56,49,40,50,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-56,59,50,NA,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-56,69,60,70,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-56,76,77,NA,NA,30,HELP,76,HELP,0,,1,No HC recording
sf-math-46,120,NA,NA,NA,120,120,120,120,0,,0,
sf-math-43,30,40,what comes after 30,31,30,39,89,39,0,self corrected,1,"self-corrected, not an error"
sf-math-43,39,IDK,40,50,30,39,89,39,0,"made mistake directly after prompt, should have been stopped",0,
sf-math-43,40,50,41,41,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,43,45,44,44,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,49,IDK,50,50,30,39,89,39,0,3rd error in a decade,1,made error immediately after prompt
sf-math-43,50,60,51,52,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,59,30,60,60,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,65,62,66,67,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,69,IDK,70,70,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,79,IDK,80,80,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,87,81,88,88,30,39,89,39,0,,1,made error immediately after prompt
sf-math-43,89,100,90,80-90,30,39,89,39,0,,1,made error immediately after prompt
sf-math-48,100,2000,101,101,100,100,119,119,0,,0,
sf-math-48,109,200,NA,NA,100,100,119,119,0,self corrected,1,self-corrected
sf-math-48,110,112,111,112,100,100,119,119,0,,0,
sf-math-48,119,200,120,120,100,100,119,119,0,"stopped at 119, 3rd error in a decade",0,
sf-math-45,79,IDK,80,81,79,79,100,100,0,,0,
sf-math-45,83,88,84,85,79,79,100,100,0,,0,
sf-math-45,93,90,94,95,79,79,100,100,0,,0,
sf-math-45,100,wanted to stop ,NA,stopped,79,79,100,100,0,,0,
sf-math-44,29,40,30,16,29,29,57,57,0,,0,
sf-math-44,30,16,31,32,29,29,57,57,0,,0,
sf-math-44,33,35,34,35,29,29,57,57,0,,0,
sf-math-44,49,40,50,40-60,29,29,57,57,0,,0,
sf-math-44,50,IDK,51,51,29,29,57,57,0,,0,
sf-math-44,54,54,55,56,29,29,57,57,0,,0,
sf-math-44,57,59,58,stopped,29,29,57,57,0,,0,
sf-math-42,20,IDK,21,22,20,20,39,39,0,,0,
sf-math-42,30,IDK,31,32,20,20,39,39,0,,0,
sf-math-42,39,20,40,IDK,20,20,39,39,0,,0,
sf-math-41,10,IDK,11,child said no,10,10,10,10,0,,0,
sf-math-35,12,IDK,13,13...,12,12,110,110,0,,0,
sf-math-35,29,40,30,31...,12,12,110,110,0,"""thirty sounds like fourty""",0,
sf-math-35,69,17,70,71...,12,12,110,110,0,,0,
sf-math-35,107,109,108,108...,12,12,110,110,0,,0,
sf-math-35,110,IDK,111,stopped,12,12,110,110,0,,0,
sf-math-33,14,18,15,1...,14,14,14,14,0,,0,
sf-math-33,14,16,15,1...,14,14,14,14,0,,1,"Child started from 1, made same mistake twice"
sf-math-34,29,100,30,31,29,29,33,33,0,sounded like 41,0,
sf-math-34,33,37,34,Stopped,29,29,33,33,0,,0,
sf-math-36,12,14,13,"7,8,9",12,12,29,29,1,started counting from 7,0,
sf-math-36,22,27,23,23...,12,12,29,29,0,,0,
sf-math-36,25,27,26,27...,12,12,29,29,0,,0,
sf-math-36,27,29,28,29,12,12,29,29,0,3rd error in a decade,0,
sf-math-36,29,27,NA,stopped,12,12,29,29,0,,1,3rd prompt within a decade
sf-math-32,15,IDK,16,IDK,15,15,15,15,0,,0,
sf-math-28,26,IDK,27,28,26,26,100,100,0,,0,
sf-math-28,65,67,66,67...,26,26,100,100,0,,0,
sf-math-28,79,IDK,80,80...,26,26,100,100,0,,0,
sf-math-28,87,IDK,88,88...,26,26,100,100,0,,0,
